Plant,Region,State,Product,Industry,Month,Year,Production_Volume_Tons,Sales_Volume_Tons,Revenue_INR,Production_Cost_INR,Profit_INR,Customer_Count,Delivery_Time_Days,Customer_Satisfaction,Plant_Efficiency_Percent
Bengaluru,South,Karnataka,Hydrogen,Steel,Dec,2023,2648,2461,9624971,6061811,3563160,113,4,9.44,86.38
Jamshedpur,East,Jharkhand,Carbon Dioxide,Steel,Mar,2023,4482,3833,10349100,7677976,2671124,278,8,7.84,98.62
Jamshedpur,East,Jharkhand,Carbon Dioxide,Food & Beverage,Apr,2022,3474,3401,14012120,11636287,2375833,349,1,8.45,98.12
Vadodara,West,Gujarat,Hydrogen,Healthcare,Aug,2025,1697,1419,5729922,4728891,1001031,258,10,7.0,92.32
Vadodara,West,Gujarat,Oxygen,Healthcare,Jul,2022,3707,3538,8285996,4861259,3424737,456,4,9.14,96.85
Jamshedpur,East,Jharkhand,Hydrogen,Food & Beverage,Jun,2022,3937,3374,6832350,4255669,2576681,262,1,8.01,85.57
Chennai,South,Tamil Nadu,Helium,Pharmaceutical,Feb,2022,601,523,2073172,1663308,409864,398,7,9.46,93.79
Dahej,West,Gujarat,Helium,Steel,Jan,2025,4302,3530,7042350,5431817,1610533,231,7,9.17,80.35
Dahej,West,Gujarat,Helium,Food & Beverage,Nov,2023,2366,1972,6422804,3830060,2592744,102,5,8.09,93.22
Vadodara,West,Gujarat,Helium,Healthcare,Jan,2024,2963,2691,8438976,4761531,3677445,58,4,8.6,94.21
Jamshedpur,East,Jharkhand,Hydrogen,Food & Beverage,Sep,2025,1302,1266,2813052,2335854,477198,109,6,7.49,76.14
Dahej,West,Gujarat,Nitrogen,Electronics,Nov,2025,2802,2662,9370240,6996132,2374108,353,10,8.26,85.83
Bengaluru,South,Karnataka,Oxygen,Pharmaceutical,Nov,2023,1968,1607,3291136,2066498,1224638,297,1,7.37,86.13
Vadodara,West,Gujarat,Helium,Food & Beverage,Feb,2025,974,825,1714350,1297530,416820,457,1,7.36,81.38
Hyderabad,South,Telangana,Nitrogen,Pharmaceutical,Aug,2025,2369,2261,5204822,3131563,2073259,108,4,9.23,84.73
Bengaluru,South,Karnataka,Carbon Dioxide,Pharmaceutical,Dec,2024,2571,2277,7734969,4939861,2795108,155,5,7.1,87.24
Hyderabad,South,Telangana,Nitrogen,Healthcare,Oct,2025,1807,1656,5247864,3955013,1292851,458,6,8.7,77.32
Hyderabad,South,Telangana,Oxygen,Chemical,Dec,2024,3220,2665,9319505,7042586,2276919,495,4,9.16,98.42
Hyderabad,South,Telangana,Oxygen,Steel,Dec,2024,4646,3945,12422805,10260502,2162303,410,7,8.03,92.8
Hazira,West,Gujarat,Helium,Electronics,May,2024,655,524,2141588,1796331,345257,334,1,7.58,87.36
Bengaluru,South,Karnataka,Oxygen,Electronics,Oct,2022,4089,3337,7121158,4115238,3005920,147,6,8.84,91.81
Jamshedpur,East,Jharkhand,Nitrogen,Food & Beverage,Aug,2023,662,628,1367156,1098633,268523,448,7,7.07,91.95
Jamshedpur,East,Jharkhand,Nitrogen,Healthcare,Jan,2022,2315,1996,4776428,2917920,1858508,410,2,7.88,92.28
Hyderabad,South,Telangana,Carbon Dioxide,Chemical,Dec,2025,1546,1490,3750330,2527805,1222525,271,6,8.88,80.03
Hazira,West,Gujarat,Nitrogen,Steel,Aug,2024,3976,3665,10049430,8205130,1844300,254,10,9.76,91.75
Bengaluru,South,Karnataka,Helium,Steel,Nov,2023,1372,1292,3273928,1820122,1453806,228,7,7.32,81.71
Hyderabad,South,Telangana,Nitrogen,Healthcare,Aug,2023,1738,1614,5171256,2933756,2237500,60,4,9.52,79.07
Vadodara,West,Gujarat,Oxygen,Healthcare,Nov,2023,2033,1832,4208104,3574010,634094,77,4,7.85,87.62
Chennai,South,Tamil Nadu,Oxygen,Electronics,Jul,2023,2533,2310,4499880,3495458,1004422,229,10,8.84,94.79
Dahej,West,Gujarat,Oxygen,Food & Beverage,Apr,2025,1845,1699,3720810,3033559,687251,199,7,9.27,90.83
Pune,West,Maharashtra,Hydrogen,Healthcare,Aug,2025,3133,3072,8432640,5472233,2960407,251,9,9.15,83.63
Jamshedpur,East,Jharkhand,Oxygen,Pharmaceutical,Dec,2025,3394,3081,11541426,8758724,2782702,386,3,7.98,89.45
Vadodara,West,Gujarat,Carbon Dioxide,Healthcare,Dec,2024,2400,2268,7638624,4801829,2836795,219,2,9.05,93.1
Vadodara,West,Gujarat,Helium,Healthcare,Oct,2025,1762,1614,5905626,3835785,2069841,455,6,9.38,79.52
Vadodara,West,Gujarat,Hydrogen,Food & Beverage,Jul,2022,2553,2312,9310424,5917190,3393234,364,2,9.41,97.4
Chennai,South,Tamil Nadu,Carbon Dioxide,Electronics,Dec,2024,4518,4274,13018604,8864390,4154214,175,9,9.09,94.16
Vadodara,West,Gujarat,Hydrogen,Electronics,Dec,2024,4967,4237,15888750,12811171,3077579,149,9,7.51,80.04
Jamshedpur,East,Jharkhand,Hydrogen,Steel,Sep,2024,728,642,2184726,1704854,479872,398,1,7.92,83.66
Bengaluru,South,Karnataka,Argon,Food & Beverage,Oct,2023,2355,2125,7618125,4669320,2948805,403,8,9.81,94.49
Dahej,West,Gujarat,Helium,Steel,Aug,2025,834,760,1613480,1041543,571937,151,5,7.79,92.61
Hyderabad,South,Telangana,Nitrogen,Healthcare,Jun,2024,1364,1289,2333090,1718436,614654,137,5,7.04,89.73
Hyderabad,South,Telangana,Oxygen,Pharmaceutical,Jun,2023,679,613,1427677,975676,452001,336,10,9.55,83.15
Bengaluru,South,Karnataka,Hydrogen,Chemical,Jan,2022,1859,1769,5204398,3105330,2099068,460,10,9.84,90.38
Dahej,West,Gujarat,Carbon Dioxide,Chemical,Apr,2025,1750,1528,4301320,2418964,1882356,192,7,8.76,97.65
Hyderabad,South,Telangana,Nitrogen,Pharmaceutical,Aug,2023,4246,4032,16801344,11628409,5172935,316,10,7.95,79.97
Vadodara,West,Gujarat,Nitrogen,Food & Beverage,Dec,2024,727,600,1892400,1084237,808163,419,9,8.99,78.81
Jamshedpur,East,Jharkhand,Helium,Electronics,Jul,2024,3978,3593,9808890,6828134,2980756,159,5,7.1,84.79
Jamshedpur,East,Jharkhand,Nitrogen,Electronics,May,2022,516,459,1899801,1302850,596951,326,8,8.71,78.86
Hyderabad,South,Telangana,Argon,Steel,Oct,2025,677,545,2072635,1278587,794048,237,5,7.33,94.05
Hyderabad,South,Telangana,Hydrogen,Electronics,Jan,2024,3571,2909,6283440,3999296,2284144,426,9,8.26,86.39
Hazira,West,Gujarat,Nitrogen,Food & Beverage,Jan,2024,3109,2719,8192347,6687675,1504672,129,6,9.27,91.26
Vadodara,West,Gujarat,Argon,Food & Beverage,Nov,2023,2392,2119,4848272,3631892,1216380,491,3,8.08,90.09
Vadodara,West,Gujarat,Carbon Dioxide,Chemical,Jun,2024,4200,4064,7701280,4903846,2797434,196,2,8.52,98.38
Hyderabad,South,Telangana,Carbon Dioxide,Food & Beverage,Nov,2023,2463,2255,6967950,5403977,1563973,201,7,7.91,83.47
Bengaluru,South,Karnataka,Carbon Dioxide,Food & Beverage,Jan,2022,1892,1610,5778290,3914101,1864189,366,8,8.67,78.62
Bengaluru,South,Karnataka,Argon,Chemical,Feb,2025,3219,2607,9664149,7167517,2496632,465,10,9.02,88.34
Vadodara,West,Gujarat,Argon,Electronics,Oct,2025,1652,1506,6286044,5084323,1201721,347,2,8.5,88.1
Hyderabad,South,Telangana,Nitrogen,Pharmaceutical,Jul,2024,3559,3499,8453584,6671121,1782463,434,6,9.72,91.11
Hyderabad,South,Telangana,Argon,Chemical,May,2024,4685,4253,13439480,10897808,2541672,64,4,8.61,76.37
Hyderabad,South,Telangana,Oxygen,Pharmaceutical,Sep,2023,4570,4467,13124046,8749954,4374092,366,1,8.26,79.6
Hyderabad,South,Telangana,Helium,Healthcare,Aug,2025,3430,2801,9232096,6624481,2607615,435,7,8.13,95.33
Chennai,South,Tamil Nadu,Hydrogen,Electronics,Oct,2025,2461,2123,6016582,3710960,2305622,63,6,8.78,82.09
Pune,West,Maharashtra,Oxygen,Healthcare,Mar,2022,544,465,1775370,1500117,275253,74,6,8.16,93.22
Chennai,South,Tamil Nadu,Helium,Chemical,Feb,2023,718,654,2171280,1762469,408811,122,9,7.34,91.59
Hyderabad,South,Telangana,Helium,Food & Beverage,Aug,2025,946,838,1984384,1655022,329362,97,7,9.09,89.38
Dahej,West,Gujarat,Carbon Dioxide,Healthcare,Jan,2023,865,790,2387380,1324647,1062733,273,1,8.86,95.23
Hazira,West,Gujarat,Hydrogen,Food & Beverage,Mar,2022,3461,3276,13660920,9012952,4647968,192,8,8.19,84.71
Bengaluru,South,Karnataka,Oxygen,Steel,Dec,2022,3846,3289,9495343,5854321,3641022,316,1,8.43,83.06
Vadodara,West,Gujarat,Argon,Pharmaceutical,Aug,2024,4177,3624,13238472,8492144,4746328,369,5,7.97,92.06
Jamshedpur,East,Jharkhand,Hydrogen,Electronics,Nov,2022,1908,1763,3739323,2317565,1421758,441,6,7.52,97.7
Hyderabad,South,Telangana,Hydrogen,Steel,Nov,2022,2391,2143,6163268,4728844,1434424,98,7,7.2,90.56
Vadodara,West,Gujarat,Oxygen,Steel,Jun,2022,863,712,1317912,852204,465708,154,6,8.94,92.17
Jamshedpur,East,Jharkhand,Carbon Dioxide,Healthcare,Apr,2024,690,585,1296945,1063788,233157,189,4,9.67,76.31
Dahej,West,Gujarat,Oxygen,Healthcare,Mar,2025,1801,1570,3245190,1868588,1376602,86,8,8.67,92.63
Dahej,West,Gujarat,Hydrogen,Electronics,Jul,2024,735,607,2058944,1210129,848815,453,9,9.89,94.54
Vadodara,West,Gujarat,Hydrogen,Steel,Nov,2025,4625,4532,10400940,6053794,4347146,463,4,7.71,88.87
Jamshedpur,East,Jharkhand,Helium,Electronics,Jul,2023,3299,2815,11488015,8261037,3226978,134,8,7.98,77.33
Hazira,West,Gujarat,Hydrogen,Healthcare,Mar,2023,3010,2415,6501180,4133465,2367715,377,10,8.26,88.22
Chennai,South,Tamil Nadu,Carbon Dioxide,Healthcare,Dec,2024,4343,4126,14498764,11060677,3438087,368,10,7.53,76.48
Chennai,South,Tamil Nadu,Carbon Dioxide,Healthcare,Apr,2024,4777,4500,16434000,9661248,6772752,236,3,9.18,94.39
Chennai,South,Tamil Nadu,Oxygen,Electronics,Dec,2023,4535,3906,12948390,7432612,5515778,488,4,8.75,76.99
Chennai,South,Tamil Nadu,Hydrogen,Food & Beverage,Jan,2025,3894,3791,12915937,10826021,2089916,182,2,7.15,84.26
Dahej,West,Gujarat,Helium,Steel,Jul,2023,4960,4675,16297050,12269103,4027947,471,2,8.79,89.0
Chennai,South,Tamil Nadu,Argon,Chemical,Jan,2024,814,793,2419443,1873156,546287,276,2,7.84,82.43
Hazira,West,Gujarat,Carbon Dioxide,Chemical,Feb,2024,4561,4213,17096354,11408753,5687601,107,4,9.86,93.38
Vadodara,West,Gujarat,Nitrogen,Chemical,Sep,2022,640,543,1624113,1043586,580527,411,2,7.64,86.96
Dahej,West,Gujarat,Hydrogen,Pharmaceutical,Jan,2023,1149,1136,4417904,2810636,1607268,351,2,7.27,81.75
Vadodara,West,Gujarat,Helium,Healthcare,Apr,2022,2077,1976,6989112,4942052,2047060,129,7,9.65,76.82
Hyderabad,South,Telangana,Nitrogen,Healthcare,Jan,2024,909,790,2055580,1382737,672843,77,5,7.97,96.3
Hazira,West,Gujarat,Nitrogen,Healthcare,Dec,2025,3815,3409,8989533,6710227,2279306,336,9,9.52,86.26
Hazira,West,Gujarat,Nitrogen,Food & Beverage,Sep,2022,1602,1413,2762415,1641702,1120713,159,2,8.61,93.74
Hazira,West,Gujarat,Argon,Food & Beverage,Dec,2024,3807,3072,10306560,6576973,3729587,297,5,9.36,86.18
Hazira,West,Gujarat,Argon,Pharmaceutical,Sep,2025,4446,4051,13425014,9783538,3641476,419,9,8.84,80.65
Vadodara,West,Gujarat,Carbon Dioxide,Pharmaceutical,Mar,2025,1822,1712,4586448,2687090,1899358,322,5,9.33,76.78
Bengaluru,South,Karnataka,Hydrogen,Electronics,Dec,2023,2086,1723,4538382,2802200,1736182,86,3,8.67,77.69
Pune,West,Maharashtra,Helium,Healthcare,Feb,2022,2918,2868,5953968,3302832,2651136,134,3,7.64,95.78
Chennai,South,Tamil Nadu,Helium,Healthcare,Jun,2022,2226,1910,4498050,3630181,867869,470,7,7.52,98.04
Vadodara,West,Gujarat,Oxygen,Steel,Jul,2022,4649,4591,9494188,8014787,1479401,94,4,9.43,89.59
Pune,West,Maharashtra,Carbon Dioxide,Pharmaceutical,Oct,2023,1641,1549,6231627,3931760,2299867,495,4,8.27,85.93
Pune,West,Maharashtra,Helium,Food & Beverage,Feb,2022,2606,2276,8041108,4534573,3506535,343,5,8.29,80.38
Vadodara,West,Gujarat,Nitrogen,Steel,Oct,2023,3646,3046,8254660,5421365,2833295,378,10,8.49,98.38
Bengaluru,South,Karnataka,Helium,Healthcare,Oct,2023,792,774,2360700,1514783,845917,153,3,7.95,83.49
Pune,West,Maharashtra,Oxygen,Pharmaceutical,Oct,2023,1167,966,2898000,2337135,560865,129,9,8.67,80.81
Hazira,West,Gujarat,Oxygen,Steel,Jul,2022,4765,4298,9391130,5464070,3927060,103,8,8.58,86.28
Jamshedpur,East,Jharkhand,Hydrogen,Steel,Dec,2025,2629,2300,9089600,5930603,3158997,273,4,9.43,89.31
Vadodara,West,Gujarat,Nitrogen,Chemical,Oct,2022,1711,1580,5281940,2982932,2299008,455,6,9.65,92.67
Hazira,West,Gujarat,Hydrogen,Pharmaceutical,Oct,2023,3389,3149,12526722,7270541,5256181,441,1,7.19,79.4
Bengaluru,South,Karnataka,Nitrogen,Pharmaceutical,Jun,2024,1811,1711,5032051,3231637,1800414,231,5,8.9,89.34
Bengaluru,South,Karnataka,Helium,Chemical,Aug,2024,1262,1214,4346120,2858763,1487357,90,3,9.08,85.58
Bengaluru,South,Karnataka,Nitrogen,Food & Beverage,Mar,2024,4244,4069,15690064,12069041,3621023,411,9,9.51,76.09
Dahej,West,Gujarat,Argon,Healthcare,Oct,2022,2571,2433,9858516,6699359,3159157,298,8,7.0,95.77
Vadodara,West,Gujarat,Hydrogen,Chemical,May,2024,4906,4808,14505736,8714346,5791390,262,5,7.16,88.92
Bengaluru,South,Karnataka,Helium,Food & Beverage,Sep,2025,4439,4177,11511812,6452690,5059122,103,1,8.18,83.99
Dahej,West,Gujarat,Carbon Dioxide,Steel,Apr,2025,918,740,2861580,2062444,799136,240,6,8.92,77.06
Vadodara,West,Gujarat,Argon,Food & Beverage,Oct,2024,3754,3397,8574028,6574224,1999804,193,8,8.48,95.56
Jamshedpur,East,Jharkhand,Hydrogen,Steel,Oct,2022,1837,1754,5910980,4021359,1889621,328,10,8.77,98.34
Bengaluru,South,Karnataka,Argon,Pharmaceutical,Sep,2022,3753,3036,10914420,7768786,3145634,231,8,8.39,97.29
Hyderabad,South,Telangana,Carbon Dioxide,Electronics,Oct,2024,3048,2849,6829053,5294543,1534510,90,5,9.64,84.29
Vadodara,West,Gujarat,Hydrogen,Healthcare,Feb,2023,4290,3743,8054936,5192083,2862853,64,7,7.07,90.61
Pune,West,Maharashtra,Argon,Electronics,Dec,2025,3106,2911,9411263,7598527,1812736,241,8,9.67,79.35
Bengaluru,South,Karnataka,Oxygen,Steel,Jul,2022,2989,2574,7057908,5981890,1076018,137,9,8.36,95.2
Vadodara,West,Gujarat,Helium,Electronics,Jun,2025,564,543,1865205,1388074,477131,186,2,8.0,83.36
Vadodara,West,Gujarat,Nitrogen,Food & Beverage,Nov,2022,1188,1066,2840890,2054671,786219,476,8,7.45,95.26
Chennai,South,Tamil Nadu,Helium,Pharmaceutical,Sep,2023,4153,3640,11415040,8249429,3165611,287,8,9.46,87.46
Bengaluru,South,Karnataka,Oxygen,Chemical,Mar,2024,4496,3926,11550292,9486773,2063519,325,3,8.67,78.67
Hazira,West,Gujarat,Hydrogen,Healthcare,Nov,2023,3969,3886,14747370,10336233,4411137,436,10,7.4,83.24
Hazira,West,Gujarat,Helium,Chemical,Aug,2025,809,792,2568456,1872725,695731,218,9,7.56,98.46
Chennai,South,Tamil Nadu,Oxygen,Chemical,Jul,2024,3193,2733,6428016,5128040,1299976,147,10,8.48,91.32
Chennai,South,Tamil Nadu,Oxygen,Chemical,Jun,2022,1190,1032,4327176,3369984,957192,252,6,7.06,87.31
Vadodara,West,Gujarat,Carbon Dioxide,Electronics,May,2025,4009,3602,12513348,7400378,5112970,200,2,8.06,81.16
Dahej,West,Gujarat,Argon,Pharmaceutical,Apr,2025,2870,2455,5852720,3421639,2431081,469,9,8.25,94.19
Hyderabad,South,Telangana,Argon,Chemical,Nov,2022,1387,1233,4116987,3205262,911725,484,8,8.75,92.05
Pune,West,Maharashtra,Argon,Electronics,May,2024,4814,4285,15511700,8673378,6838322,185,10,8.33,95.72
Jamshedpur,East,Jharkhand,Carbon Dioxide,Chemical,Jun,2023,1006,921,2861547,1576521,1285026,298,4,7.99,97.38
Hyderabad,South,Telangana,Nitrogen,Healthcare,May,2025,1879,1785,7181055,4184547,2996508,486,1,9.27,84.02
Jamshedpur,East,Jharkhand,Carbon Dioxide,Chemical,Apr,2023,1170,995,2751175,1838089,913086,102,5,7.33,91.84
Dahej,West,Gujarat,Hydrogen,Steel,Sep,2023,2381,2068,8044520,5816223,2228297,386,1,8.26,81.82
Jamshedpur,East,Jharkhand,Argon,Healthcare,Apr,2025,4871,4482,11962458,7906957,4055501,63,7,9.86,97.67
Chennai,South,Tamil Nadu,Hydrogen,Electronics,Apr,2022,2187,1933,5211368,3181827,2029541,399,10,7.54,86.11
Pune,West,Maharashtra,Hydrogen,Electronics,May,2024,4580,3939,14515215,9396665,5118550,217,10,8.85,82.79
Jamshedpur,East,Jharkhand,Hydrogen,Food & Beverage,Dec,2022,1724,1558,5900146,3506376,2393770,395,1,7.6,87.42
Hyderabad,South,Telangana,Argon,Steel,Nov,2022,4377,4181,7684678,6416345,1268333,314,1,8.15,88.76
Hyderabad,South,Telangana,Oxygen,Electronics,Aug,2023,1443,1359,2973492,1903144,1070348,471,4,8.06,75.3
Hyderabad,South,Telangana,Hydrogen,Pharmaceutical,Jan,2022,1187,1155,2125200,1564108,561092,284,6,9.45,91.32
Dahej,West,Gujarat,Nitrogen,Chemical,Jun,2025,3008,2537,10493032,6796412,3696620,461,8,7.99,80.85
Hyderabad,South,Telangana,Carbon Dioxide,Pharmaceutical,May,2023,3226,2955,6368025,4996636,1371389,347,5,9.87,84.08
Dahej,West,Gujarat,Carbon Dioxide,Chemical,Jan,2024,1965,1764,6034644,4686355,1348289,346,1,8.44,91.86
Pune,West,Maharashtra,Nitrogen,Food & Beverage,Jul,2023,1221,1070,4202960,2846040,1356920,372,7,7.21,79.27
Chennai,South,Tamil Nadu,Helium,Electronics,Feb,2023,1663,1498,5708878,4541611,1167267,361,3,7.84,97.93
Vadodara,West,Gujarat,Nitrogen,Chemical,Sep,2022,3624,2967,6827067,4307874,2519193,235,4,8.64,90.66
Bengaluru,South,Karnataka,Argon,Pharmaceutical,Dec,2024,3783,3317,6448248,5039508,1408740,213,4,7.4,90.99
Bengaluru,South,Karnataka,Oxygen,Healthcare,Nov,2023,4963,4374,10230786,7859011,2371775,322,8,7.62,77.06
Jamshedpur,East,Jharkhand,Hydrogen,Pharmaceutical,Jan,2023,2732,2216,4950544,3823032,1127512,58,6,8.49,81.76
Bengaluru,South,Karnataka,Carbon Dioxide,Pharmaceutical,Aug,2023,3144,2900,10347200,7904988,2442212,409,7,7.79,96.57
Pune,West,Maharashtra,Carbon Dioxide,Food & Beverage,Mar,2024,727,672,2242464,1473453,769011,150,3,8.4,89.31
Pune,West,Maharashtra,Argon,Food & Beverage,Dec,2023,2737,2655,7792425,5292063,2500362,52,4,9.05,78.5
Vadodara,West,Gujarat,Carbon Dioxide,Chemical,May,2025,4032,3691,12737641,7553433,5184208,487,8,9.86,77.51
Hazira,West,Gujarat,Hydrogen,Pharmaceutical,Apr,2024,4112,3701,15118585,11563657,3554928,276,9,9.38,83.65
Pune,West,Maharashtra,Hydrogen,Pharmaceutical,Aug,2023,1669,1448,3854576,2757522,1097054,121,2,8.05,93.84
Hyderabad,South,Telangana,Carbon Dioxide,Chemical,Apr,2025,2874,2438,6265660,4500008,1765652,267,7,9.75,75.18
Hazira,West,Gujarat,Argon,Food & Beverage,Feb,2025,2886,2553,10191576,5906537,4285039,131,2,8.75,85.63
Hyderabad,South,Telangana,Hydrogen,Pharmaceutical,Apr,2024,1697,1629,5088996,3508366,1580630,133,5,7.51,91.79
Hyderabad,South,Telangana,Hydrogen,Electronics,Jun,2024,3403,3342,10714452,6519349,4195103,95,10,7.45,78.19
Hazira,West,Gujarat,Carbon Dioxide,Chemical,Oct,2022,1667,1516,3500444,2116416,1384028,280,3,9.73,97.52
Bengaluru,South,Karnataka,Carbon Dioxide,Electronics,Mar,2025,1434,1403,2723223,1720595,1002628,427,1,7.29,78.06
Bengaluru,South,Karnataka,Argon,Food & Beverage,Aug,2022,868,787,3093697,2318484,775213,253,2,8.66,82.16
Chennai,South,Tamil Nadu,Nitrogen,Electronics,Nov,2023,4414,4215,16290975,9124865,7166110,146,3,8.5,75.17
Dahej,West,Gujarat,Hydrogen,Chemical,Mar,2022,3765,3185,12306840,7065704,5241136,238,7,7.3,83.88
Hazira,West,Gujarat,Oxygen,Steel,Dec,2022,1242,1140,2808960,2170205,638755,189,8,7.73,90.41
Bengaluru,South,Karnataka,Hydrogen,Chemical,Aug,2025,2035,1976,6627504,4093398,2534106,281,2,9.26,93.01
Dahej,West,Gujarat,Argon,Electronics,May,2023,833,677,1538821,1090952,447869,409,5,9.07,96.45
Hazira,West,Gujarat,Nitrogen,Electronics,Jan,2023,2643,2582,10204064,7873920,2330144,380,9,7.82,78.41
Pune,West,Maharashtra,Hydrogen,Steel,Feb,2025,1624,1353,2992836,1888617,1104219,372,2,8.32,90.97
Pune,West,Maharashtra,Carbon Dioxide,Electronics,Sep,2022,4837,4748,16993092,11076772,5916320,411,4,7.64,93.12
Hazira,West,Gujarat,Oxygen,Steel,Sep,2024,3584,3333,11608839,9183466,2425373,465,5,7.88,87.65
Vadodara,West,Gujarat,Helium,Pharmaceutical,Nov,2024,2481,2282,9287740,7715604,1572136,206,6,9.33,87.01
Bengaluru,South,Karnataka,Carbon Dioxide,Electronics,Jul,2024,2180,1820,6783140,4712902,2070238,397,1,8.89,86.41
Pune,West,Maharashtra,Argon,Steel,Jul,2025,1200,1081,4216981,2533028,1683953,107,10,9.15,94.9
Jamshedpur,East,Jharkhand,Hydrogen,Electronics,May,2022,4605,4121,11860238,8258584,3601654,83,10,8.67,84.22
Hyderabad,South,Telangana,Nitrogen,Healthcare,Apr,2023,704,574,1595146,1151090,444056,246,5,7.15,91.94
Bengaluru,South,Karnataka,Oxygen,Healthcare,Dec,2022,2216,2097,5747877,3511709,2236168,127,3,9.73,82.1
Dahej,West,Gujarat,Hydrogen,Food & Beverage,Jun,2022,3340,2850,8039850,5724399,2315451,122,2,7.88,78.9
Vadodara,West,Gujarat,Oxygen,Pharmaceutical,Feb,2022,3116,2509,7659977,4748610,2911367,229,1,8.7,80.01
Dahej,West,Gujarat,Nitrogen,Chemical,Dec,2022,3788,3608,11790944,7804629,3986315,474,1,8.61,85.05
Vadodara,West,Gujarat,Argon,Steel,Jan,2023,3946,3568,10225888,5835763,4390125,487,2,9.64,75.5
Chennai,South,Tamil Nadu,Helium,Electronics,Jul,2024,1724,1570,6374200,4830625,1543575,293,3,9.09,89.24
Dahej,West,Gujarat,Helium,Electronics,Jul,2022,2104,1772,6357936,4176441,2181495,387,6,9.58,91.63
Jamshedpur,East,Jharkhand,Helium,Pharmaceutical,May,2022,1066,993,3347403,1853537,1493866,145,5,7.74,87.11
Pune,West,Maharashtra,Oxygen,Pharmaceutical,Oct,2022,3298,3104,7229216,5570438,1658778,131,9,7.66,95.17
Chennai,South,Tamil Nadu,Carbon Dioxide,Healthcare,Mar,2024,3771,3585,11464830,8713454,2751376,238,10,7.08,79.48
Hazira,West,Gujarat,Oxygen,Steel,Sep,2025,3659,2959,8844451,5358309,3486142,341,10,8.58,82.78
Hyderabad,South,Telangana,Nitrogen,Healthcare,Oct,2024,1479,1355,5052795,2993427,2059368,207,4,7.38,92.4
Chennai,South,Tamil Nadu,Oxygen,Electronics,Jun,2023,3420,2971,7103661,5343190,1760471,222,4,9.16,94.54
Dahej,West,Gujarat,Helium,Chemical,Sep,2025,4463,4046,12235104,7581160,4653944,302,4,9.0,80.02
Chennai,South,Tamil Nadu,Carbon Dioxide,Steel,Jun,2023,3430,3224,10055656,6209323,3846333,478,8,7.13,92.24
Chennai,South,Tamil Nadu,Carbon Dioxide,Electronics,Jan,2022,1169,1019,3734635,3116214,618421,243,7,9.19,94.9
Hazira,West,Gujarat,Nitrogen,Electronics,Apr,2024,3343,2728,10355488,6354192,4001296,389,8,8.91,82.59
Pune,West,Maharashtra,Helium,Healthcare,Dec,2022,4339,3796,15814136,11298975,4515161,341,10,8.73,80.55
Hyderabad,South,Telangana,Nitrogen,Food & Beverage,Jul,2024,2323,2237,5355378,3403350,1952028,398,9,9.63,88.05
Hyderabad,South,Telangana,Argon,Electronics,Aug,2022,3467,2919,8940897,7234390,1706507,269,6,7.87,93.89
Dahej,West,Gujarat,Argon,Chemical,Apr,2022,3495,2845,9342980,6271362,3071618,434,8,9.42,79.71
Vadodara,West,Gujarat,Oxygen,Food & Beverage,Nov,2025,3476,2945,7892600,4586504,3306096,146,9,9.89,88.07
Pune,West,Maharashtra,Hydrogen,Chemical,Jan,2025,4254,3968,11610368,9246519,2363849,168,1,7.32,88.71
Pune,West,Maharashtra,Helium,Electronics,Jan,2023,3602,3077,6237079,5232653,1004426,277,9,8.13,75.25
Hazira,West,Gujarat,Oxygen,Healthcare,Oct,2022,3392,2810,6890120,4718110,2172010,480,9,9.34,83.56
Hyderabad,South,Telangana,Argon,Electronics,Mar,2022,2518,2190,6024690,3438548,2586142,301,3,8.0,96.37
Dahej,West,Gujarat,Carbon Dioxide,Steel,Feb,2022,2697,2274,6910686,3891873,3018813,377,3,7.87,98.48
Vadodara,West,Gujarat,Argon,Steel,Dec,2025,4331,3626,11592322,8049381,3542941,154,4,7.98,98.32
Hazira,West,Gujarat,Carbon Dioxide,Healthcare,Apr,2022,4441,4256,12687136,7780957,4906179,360,8,7.91,80.7
Hazira,West,Gujarat,Nitrogen,Healthcare,Apr,2022,3278,3054,9436860,7557495,1879365,66,6,8.03,82.19
Dahej,West,Gujarat,Oxygen,Pharmaceutical,Sep,2024,4873,4206,12672678,7099781,5572897,397,5,7.29,94.72
Hazira,West,Gujarat,Helium,Healthcare,Dec,2023,4230,3430,9209550,6743283,2466267,299,8,8.81,75.32
Jamshedpur,East,Jharkhand,Carbon Dioxide,Electronics,Sep,2024,3130,2952,11067048,7331589,3735459,115,6,7.39,91.94
Hyderabad,South,Telangana,Helium,Food & Beverage,Sep,2024,3188,2955,6489180,5002295,1486885,469,3,8.92,93.85
Chennai,South,Tamil Nadu,Hydrogen,Electronics,Aug,2023,1672,1480,2831240,2265599,565641,330,1,9.72,86.52
Dahej,West,Gujarat,Oxygen,Food & Beverage,Feb,2022,613,560,1515360,1100785,414575,450,4,7.78,84.04
Pune,West,Maharashtra,Carbon Dioxide,Pharmaceutical,Dec,2025,4366,3494,7368846,6247601,1121245,450,6,9.35,86.13
Hazira,West,Gujarat,Carbon Dioxide,Chemical,Aug,2025,2142,2036,6333996,4460414,1873582,153,7,7.24,87.96
Pune,West,Maharashtra,Hydrogen,Pharmaceutical,Mar,2025,626,604,1857904,1337684,520220,337,7,7.56,83.2
